Genotypes,mg_ml_glucose,Block
BB,0.165,1
BB,0.297,2
BB,0.153,3
BB,0.263,4
BB,0.232,5
BB,0.198,6
BB,0.223,7
BB,0.098,8
BB,0.356,9
BB,0.257,10
SP,0.031,1
SP,0.032,2
SP,0.334,3
SP,0.4,4
SP,0.282,5
SP,0.026,6
SP,0.083,7
SP,0.214,8
SP,0.076,9
SP,0.298,10
