Genotypes,mg_ml_glucose,Block
BB,0.281,1
BB,0.404,2
BB,0.392,3
BB,0.246,4
BB,0.208,5
BB,0.382,6
BB,0.397,7
BB,0.325,8
SP,0.03,1
SP,0.148,2
SP,0.219,3
SP,0.245,4
SP,0.311,5
SP,0.153,6
SP,0.109,7
SP,0.263,8
