Genotypes,Block,mg_ml_glucose
BB,1,0.281
BB,2,0.404
BB,3,0.392
BB,4,0.246
BB,5,0.208
BB,6,0.382
BB,7,0.397
BB,8,0.325
SP,1,0.03
SP,2,0.148
SP,3,0.219
SP,4,0.245
SP,5,0.311
SP,6,0.153
SP,7,0.109
SP,8,0.263
