Genotypes,Block,mg_ml_glucose
BB,1,0.41
BB,2,0.073
BB,3,0.524
BB,4,0.39
BB,5,0.467
BB,6,0.224
BB,7,0.291
BB,8,0.215
SP,1,0.035
SP,2,0.019
SP,3,0.226
SP,4,0.026
SP,5,0.082
SP,6,0.339
SP,7,0.04
SP,8,0.026
