Genotypes,Block,mg_glucose
BB,1,0.366
BB,2,0.131
BB,3,0.041
BB,4,0.177
BB,5,0.22
BB,6,0.243
BB,7,0.238
BB,8,0.239
BB,9,0.121
BB,10,0.182
SP,1,0.124
SP,2,0.23
SP,4,0.139
SP,5,0.179
SP,6,0.21
SP,7,0.279
SP,8,0.31
SP,9,0.002
SP,10,0.075
