Genotypes,mg_ml_glucose,Block,Trials
BB,0.327,1,1
BB,0.051,2,1
BB,0.293,3,1
BB,0.319,4,1
SP,0.378,1,1
SP,0.08,2,1
SP,0.432,3,1
SP,0.085,4,1
BB,0.366,1,2
BB,0.131,2,2
BB,0.041,3,2
BB,0.177,4,2
BB,0.22,5,2
BB,0.243,6,2
BB,0.238,7,2
BB,0.239,8,2
BB,0.121,9,2
BB,0.182,10,2
SP,0.124,1,2
SP,0.23,2,2
SP,0.139,4,2
SP,0.179,5,2
SP,0.21,6,2
SP,0.279,7,2
SP,0.31,8,2
SP,0.002,9,2
SP,0.075,10,2
