Genotypes,mg_ml_glucose,Block
BB,0.025,1
BB,0.115,2
BB,0.2,3
BB,0.115,4
BB,0.039,5
BB,0.281,6
BB,0.155,7
BB,0.131,8
BB,0.264,9
BB,0.142,10
SP,0.012,1
SP,0.059,2
SP,0.053,3
SP,0.062,4
SP,0.012,5
SP,0.038,6
SP,0.003,7
SP,0,8
SP,0.128,9
SP,0.059,10
